MMDD,HH,2022,2023,2024,Average
0124,4,0.0,0.0,0.0,0.0
0124,5,0.0,0.0,0.0,0.0
0124,6,0.0,0.0,0.0,0.0
0124,7,0.0,0.0,0.0,0.0
0124,8,1.0,1.0,1.0,1.0
0124,9,6.0,7.0,18.0,10.333333333333334
0124,10,14.0,11.0,50.0,25.0
0124,11,21.0,17.0,68.0,35.333333333333336
0124,12,28.0,22.0,61.0,37.0
0124,13,27.0,23.0,61.0,37.0
0124,14,23.0,21.0,38.0,27.333333333333332
0124,15,14.0,13.0,23.0,16.666666666666668
0124,16,6.0,6.0,9.0,7.0
0124,17,1.0,0.0,0.0,0.3333333333333333
0124,18,0.0,0.0,0.0,0.0
0124,19,0.0,0.0,0.0,0.0
0124,20,0.0,0.0,0.0,0.0
0124,21,0.0,0.0,0.0,0.0
0124,22,0.0,0.0,0.0,0.0
0124,23,0.0,0.0,0.0,0.0
0124,24,0.0,0.0,0.0,0.0
0125,1,0.0,0.0,0.0,0.0
0125,2,0.0,0.0,0.0,0.0
0125,3,0.0,0.0,0.0,0.0
0125,4,0.0,0.0,0.0,0.0
0125,5,0.0,0.0,0.0,0.0
0125,6,0.0,0.0,0.0,0.0
0125,7,0.0,0.0,0.0,0.0
0125,8,1.0,1.0,2.0,1.3333333333333333
0125,9,6.0,5.0,19.0,10.0
0125,10,11.0,10.0,37.0,19.333333333333332
0125,11,15.0,16.0,49.0,26.666666666666668
0125,12,18.0,19.0,40.0,25.666666666666668
0125,13,18.0,19.0,36.0,24.333333333333332
0125,14,18.0,14.0,25.0,19.0
0125,15,11.0,8.0,11.0,10.0
0125,16,4.0,3.0,3.0,3.3333333333333335
0125,17,1.0,0.0,0.0,0.3333333333333333
0125,18,0.0,0.0,0.0,0.0
0125,19,0.0,0.0,0.0,0.0
0125,20,0.0,0.0,0.0,0.0
0125,21,0.0,0.0,0.0,0.0
0125,22,0.0,0.0,0.0,0.0
0125,23,0.0,0.0,0.0,0.0
0125,24,0.0,0.0,0.0,0.0
0126,1,0.0,0.0,0.0,0.0
0126,2,0.0,0.0,0.0,0.0
0126,3,0.0,0.0,0.0,0.0
0126,4,0.0,0.0,0.0,0.0
0126,5,0.0,0.0,0.0,0.0
0126,6,0.0,0.0,0.0,0.0
0126,7,0.0,0.0,0.0,0.0
0126,8,1.0,1.0,0.0,0.6666666666666666
0126,9,4.0,9.0,2.0,5.0
0126,10,8.0,34.0,20.0,20.666666666666668
0126,11,15.0,75.0,94.0,61.333333333333336
0126,12,28.0,91.0,104.0,74.33333333333333
0126,13,26.0,77.0,67.0,56.666666666666664
0126,14,21.0,72.0,27.0,40.0
0126,15,11.0,35.0,26.0,24.0
0126,16,5.0,9.0,23.0,12.333333333333334
0126,17,1.0,0.0,1.0,0.6666666666666666
0126,18,0.0,0.0,0.0,0.0
0126,19,0.0,0.0,0.0,0.0
0126,20,0.0,0.0,0.0,0.0
0126,21,0.0,0.0,0.0,0.0
0126,22,0.0,0.0,0.0,0.0
0126,23,0.0,0.0,0.0,0.0
0126,24,0.0,0.0,0.0,0.0
0127,1,0.0,0.0,0.0,0.0
0127,2,0.0,0.0,0.0,0.0
0127,3,0.0,0.0,0.0,0.0
